"","Bcell","CD4T","CD8T","Gran","Mono","NK"
"GSM1218462",0,0.474448780272075,-2.3341750135895e-17,0.320920411774714,0.271654486527425,0.194445303468634
"GSM1218463",0,0.361819429895976,-4.84319565836146e-17,0.35640142930409,0.411076590352518,0.124313543456559
"GSM1218464",0,0.381012684375168,-4.25379439757247e-17,0.386420880524514,0.424410732537022,0.0693868973432507
"GSM1218465",0,0.419487745355248,-4.59373762664926e-17,0.344652653729601,0.300634843080652,0.194703716961498
"GSM1218466",0,0.39855458120722,-5.01678354579487e-17,0.39165881745181,0.31026939975458,0.183892524726377
"GSM1218467",0,0.426101206406155,-4.96711558655149e-17,0.36926460255834,0.275236852669825,0.1941212482773
"GSM1218468",0,0.403080343132495,-2.61440082295179e-17,0.396007948168533,0.367710639440275,0.14246697231448
"GSM1218469",0,0.359818884713608,-4.21779110869337e-17,0.412121520708962,0.375383663414749,0.142721906939451
"GSM1218470",0.0823987352526534,0.411732994727156,0,0.18962751819119,0.526983215787062,0.033460934757928
"GSM1218471",0,0.367288170808667,-5.18706485801256e-17,0.384161862746621,0.446432059771456,0.0830505238833028
"GSM1218472",0,0.332574163341959,-4.42761494988406e-17,0.487026474247182,0.307952872677858,0.144397607531408
"GSM1218473",0,0.34546733670317,-6.16068854648864e-17,0.404823428547085,0.362874430769677,0.164237612720707
"GSM1218474",-2.77555756156289e-17,0.333289571449683,-4.43656836467988e-17,0.399527688022814,0.359203809126329,0.181101008680466
"GSM1218475",0,0.377070727560604,-4.81549801443389e-17,0.428138365534479,0.334572852111918,0.152858583532354
"GSM1218476",0,0.401562249472972,-5.61283772174684e-17,0.407033687070714,0.32134622825775,0.159081116684151
"GSM1218477",0,0.397320570063743,-5.21742542077408e-17,0.428653058038993,0.312102986032454,0.157084235158614
"GSM1218478",2.77555756156289e-17,0.438809013483736,-4.29173407791437e-17,0.379024541239382,0.284888534860907,0.169797728726269
"GSM1218479",-2.77555756156289e-17,0.433490905778056,-4.66221320306828e-17,0.374134927489964,0.306637771807344,0.155748686220463
"GSM1218480",2.77555756156289e-17,0.396664180842085,-2.6344227451743e-16,0.367921285815091,0.354129924986106,0.165434375979312
"GSM1218481",0,0.438484739446458,-5.15170644298743e-17,0.411949506702903,0.30989784453416,0.130047764428082
"GSM1218482",0,0.442171272198783,-4.76352451702325e-17,0.393091307041074,0.319345821631344,0.133871131988232
"GSM1218483",0,0.375845322413049,-4.52595081802122e-17,0.383795028319835,0.34433076599096,0.171715531065132
"GSM1218484",0,0.367076822330498,-5.31992585271933e-17,0.493174983642222,0.293175365895951,0.139533429450213
"GSM1218485",0,0.434055919260489,-3.92382049916443e-17,0.345174427517768,0.339057075314517,0.148383635159794
"GSM1218486",0,0.396886701641385,-2.72722400314252e-16,0.400155210906701,0.336627853337052,0.163527232575574
"GSM1218487",2.77555756156289e-17,0.378499579082777,1.84643661096366e-16,0.437669733320538,0.338043536203391,0.150535794102075
"GSM1218488",-2.77555756156289e-17,0.386586558359271,-4.37612695221632e-17,0.417755914348644,0.339485663873723,0.148820387815434
"GSM1218489",0,0.426050841182609,-4.78930406458645e-17,0.446243334210081,0.308457117453296,0.109503171381895
"GSM1218490",0,0.386226020698529,-3.43196068244775e-17,0.397391974024604,0.354977335069511,0.16321628793014
"GSM1218491",0,0.358181390288679,-2.68930461648014e-16,0.388486720284345,0.38834391475475,0.126339312914901
"GSM1218492",0,0.331674555949916,-4.46960980265964e-17,0.486357423468203,0.323093915537038,0.13401234539285
"GSM1218493",0,0.356883432872979,-4.76343293911978e-17,0.428674366615379,0.344221496193864,0.156038355576476
"GSM1218494",0,0.46857989642509,-5.27243484985347e-17,0.373655916126755,0.26184438756724,0.165811794896041
"GSM1218495",0,0.422659957206045,-4.83262225136017e-17,0.403360958227394,0.334049663373458,0.128425118264563
"GSM1218496",-2.77555756156289e-17,0.23828843861618,-4.11517125668594e-17,0.364714200172182,0.365891233294636,0.303945898624246
"GSM1218497",0,0.365460883874078,-4.63941808505842e-17,0.435020017226284,0.332272805212634,0.157314610596264
"GSM1218498",0,0.431343942246282,-2.57638514424233e-16,0.429376068734836,0.312583710336395,0.104576869242402
"GSM1218499",0,0.356707829807458,-4.92903336806227e-17,0.438235638173801,0.385257368895456,0.116110300552189
"GSM1218500",-5.55111512312578e-17,0.395543474604195,-5.75019592990661e-17,0.43114015435559,0.369772920179065,0.0938806638386649
"GSM1218501",0,0.365836223712682,-3.5680029301031e-17,0.349725377785515,0.461929666122574,0.0944970076613418
"GSM1218502",0,0.343551692387192,1.70958320863969e-16,0.48803663047135,0.313057150795733,0.129010928060504
