"","Bcell","CD4T","CD8T","Gran","Mono","NK"
"GSM748597",0,0.412849721222476,-3.5790908685888e-17,0.408165498813301,0.332888810173186,0.149201108247591
"GSM748598",-2.77555756156289e-17,0.389990889870352,-3.39488431982995e-17,0.43873803844347,0.340190003933927,0.121835470847113
"GSM748599",0,0.383725569313611,-3.97756453660049e-17,0.423057100288714,0.331080853905788,0.165026574313917
"GSM748600",0,0.396896147756546,-4.31953456042126e-17,0.454733587173791,0.313189201637559,0.151246381938053
"GSM748601",0,0.414050217061144,-3.92451169032728e-17,0.4237285889497,0.329043138419935,0.13315630156268
"GSM748602",0,0.419646864900775,-3.75862473424771e-17,0.385831610363931,0.325482460154818,0.166856618039918
"GSM748603",0,0.409871154023132,-3.48045809940028e-17,0.424689184121082,0.333601960219279,0.138370872019806
"GSM748604",-1.07163667448598e-17,0.406600570893979,2.5885341729518e-16,0.696512251098328,2.68550372562826e-17,0
"GSM748605",0,0.384610569062886,-4.3714788799634e-17,0.393666330976996,0.369194184932463,0.154517910672891
"GSM748606",0,0.411929814721712,-3.80650410365335e-17,0.405647729310713,0.336936959298687,0.155461493311685
"GSM748607",0,0.388482690763213,-4.24800706929899e-17,0.416136213524613,0.352909774249597,0.148657043657039
"GSM748608",0,0.363609856270948,-4.11599263052087e-17,0.468544220546562,0.333698214141803,0.142176816860711
"GSM748609",0,0.383121119522304,-3.80797526613084e-17,0.505061559451212,0.298551598843587,0.116483760628168
"GSM748610",0,0.387165053905947,-2.3962054863138e-17,0.454558357706836,0.349237283002383,0.0926545659064951
"GSM748611",0.0669826361936728,0.415980464639172,0,0.291894498401079,0.382093917008721,0.153980706435909
"GSM748612",0,0.41581273193632,-3.70652669197684e-17,0.405789543759642,0.326237214537802,0.148688767567783
"GSM748613",0,0.407480727917665,-3.60288264840396e-17,0.394562172306227,0.349719411202731,0.145129527820359
"GSM748614",0,0.40197332079447,-4.2419268210676e-17,0.457521853451052,0.309618694215546,0.135998762331902
